time,natural_forests[number]
2000-03-01 12:00:00.000000,12
2000-06-01 12:00:00.000000,15
2000-09-01 12:00:00.000000,16
2000-12-01 12:00:00.000000,11
2001-03-01 12:00:00.000000,11
2001-06-01 12:00:00.000000,15
2001-09-01 12:00:00.000000,15
2001-12-01 12:00:00.000000,13
2002-03-01 12:00:00.000000,14
2002-06-01 12:00:00.000000,11
2002-09-01 12:00:00.000000,10
2002-12-01 12:00:00.000000,9
2003-03-01 12:00:00.000000,8
2003-06-01 12:00:00.000000,8
2003-09-01 12:00:00.000000,10
2003-12-01 12:00:00.000000,8
2004-03-01 12:00:00.000000,6
2004-06-01 12:00:00.000000,9
2004-09-01 12:00:00.000000,6
2004-12-01 12:00:00.000000,5
2005-03-01 12:00:00.000000,5
2005-06-01 12:00:00.000000,6
2005-09-01 12:00:00.000000,6
2005-12-01 12:00:00.000000,6
2006-03-01 12:00:00.000000,7
2006-06-01 12:00:00.000000,5
2006-09-01 12:00:00.000000,5
2006-12-01 12:00:00.000000,5
2007-03-01 12:00:00.000000,3
2007-06-01 12:00:00.000000,7
2007-09-01 12:00:00.000000,4
2007-12-01 12:00:00.000000,6
2008-03-01 12:00:00.000000,2
2008-06-01 12:00:00.000000,4
2008-09-01 12:00:00.000000,6
2008-12-01 12:00:00.000000,2
2009-03-01 12:00:00.000000,5
2009-06-01 12:00:00.000000,1
2009-09-01 12:00:00.000000,4
2009-12-01 12:00:00.000000,4
2010-03-01 12:00:00.000000,5
2010-06-01 12:00:00.000000,5
2010-09-01 12:00:00.000000,5
2010-12-01 12:00:00.000000,4
2011-03-01 12:00:00.000000,4
2011-06-01 12:00:00.000000,4
2011-09-01 12:00:00.000000,3
2011-12-01 12:00:00.000000,5
2012-03-01 12:00:00.000000,3
2012-06-01 12:00:00.000000,3
2012-09-01 12:00:00.000000,4
2012-12-01 12:00:00.000000,3
2013-03-01 12:00:00.000000,5
2013-06-01 12:00:00.000000,6
2013-09-01 12:00:00.000000,7
