time,Arctic[%]
1990-01-01 12:00:00.000000,12.72
1990-02-01 12:00:00.000000,13.33
1990-03-01 12:00:00.000000,13.44
1990-04-01 12:00:00.000000,12.16
1990-05-01 12:00:00.000000,10.84
1990-06-01 12:00:00.000000,9.12
1990-07-01 12:00:00.000000,6.44
1990-08-01 12:00:00.000000,4.92
1990-09-01 12:00:00.000000,4.5
1990-10-01 12:00:00.000000,6.67
1990-11-01 12:00:00.000000,9.58
1990-12-01 12:00:00.000000,11.4
1991-01-01 12:00:00.000000,12.49
1991-02-01 12:00:00.000000,13.15
1991-03-01 12:00:00.000000,13.35
1991-04-01 12:00:00.000000,12.79
1991-05-01 12:00:00.000000,11.44
1991-06-01 12:00:00.000000,9.6
1991-07-01 12:00:00.000000,6.66
1991-08-01 12:00:00.000000,5.14
1991-09-01 12:00:00.000000,4.46
1991-10-01 12:00:00.000000,7.7
1991-11-01 12:00:00.000000,9.19
1991-12-01 12:00:00.000000,11.19
1992-01-01 12:00:00.000000,12.54
1992-02-01 12:00:00.000000,13.51
1992-03-01 12:00:00.000000,13.41
1992-04-01 12:00:00.000000,12.76
1992-05-01 12:00:00.000000,11.37
1992-06-01 12:00:00.000000,9.89
1992-07-01 12:00:00.000000,7.14
1992-08-01 12:00:00.000000,5.35
1992-09-01 12:00:00.000000,5.37
1992-10-01 12:00:00.000000,7.69
1992-11-01 12:00:00.000000,9.09
1992-12-01 12:00:00.000000,11
1993-01-01 12:00:00.000000,12.85
1993-02-01 12:00:00.000000,13.54
1993-03-01 12:00:00.000000,13.71
1993-04-01 12:00:00.000000,12.95
1993-05-01 12:00:00.000000,11.35
1993-06-01 12:00:00.000000,9.2
1993-07-01 12:00:00.000000,6.17
1993-08-01 12:00:00.000000,4.65
1993-09-01 12:00:00.000000,4.52
1993-10-01 12:00:00.000000,6.98
1993-11-01 12:00:00.000000,9.49
1993-12-01 12:00:00.000000,11.41
1994-01-01 12:00:00.000000,12.8
1994-02-01 12:00:00.000000,13.46
1994-03-01 12:00:00.000000,13.47
1994-04-01 12:00:00.000000,12.84
1994-05-01 12:00:00.000000,11.6
1994-06-01 12:00:00.000000,9.62
1994-07-01 12:00:00.000000,6.85
1994-08-01 12:00:00.000000,5.1
1994-09-01 12:00:00.000000,5.08
1994-10-01 12:00:00.000000,7.17
1994-11-01 12:00:00.000000,9.64
1994-12-01 12:00:00.000000,11.43
1995-01-01 12:00:00.000000,12.72
1995-02-01 12:00:00.000000,13.3
1995-03-01 12:00:00.000000,13.28
1995-04-01 12:00:00.000000,12.32
1995-05-01 12:00:00.000000,10.76
1995-06-01 12:00:00.000000,8.86
1995-07-01 12:00:00.000000,6.05
1995-08-01 12:00:00.000000,4.61
1995-09-01 12:00:00.000000,4.38
1995-10-01 12:00:00.000000,5.91
1995-11-01 12:00:00.000000,8.95
1995-12-01 12:00:00.000000,11.02
1996-01-01 12:00:00.000000,12.07
1996-02-01 12:00:00.000000,12.9
1996-03-01 12:00:00.000000,12.83
1996-04-01 12:00:00.000000,12.23
1996-05-01 12:00:00.000000,11.57
1996-06-01 12:00:00.000000,9
1996-07-01 12:00:00.000000,7.36
1996-08-01 12:00:00.000000,5.65
1996-09-01 12:00:00.000000,5.58
1996-10-01 12:00:00.000000,7.49
1996-11-01 12:00:00.000000,8.7
1996-12-01 12:00:00.000000,10.96
1997-01-01 12:00:00.000000,12.3
1997-02-01 12:00:00.000000,13.36
1997-03-01 12:00:00.000000,13.24
1997-04-01 12:00:00.000000,12.48
1997-05-01 12:00:00.000000,11.17
1997-06-01 12:00:00.000000,9.14
1997-07-01 12:00:00.000000,6.66
1997-08-01 12:00:00.000000,5
1997-09-01 12:00:00.000000,4.84
1997-10-01 12:00:00.000000,6.01
1997-11-01 12:00:00.000000,9
1997-12-01 12:00:00.000000,11.19
1998-01-01 12:00:00.000000,12.73
1998-02-01 12:00:00.000000,13.7
1998-03-01 12:00:00.000000,13.5
1998-04-01 12:00:00.000000,12.77
1998-05-01 12:00:00.000000,11.35
1998-06-01 12:00:00.000000,9.11
1998-07-01 12:00:00.000000,6.38
1998-08-01 12:00:00.000000,4.61
1998-09-01 12:00:00.000000,4.24
1998-10-01 12:00:00.000000,6.65
1998-11-01 12:00:00.000000,8.82
1998-12-01 12:00:00.000000,10.85
1999-01-01 12:00:00.000000,12.54
1999-02-01 12:00:00.000000,13.38
1999-03-01 12:00:00.000000,13.47
